CodReserva;DNIPasajero;NroVuelo;FechaReserva;EstadoReserva
10;23456789;AA831;21/08/2025;Confirmada
16;39015168;AA790;27/08/2025;Confirmada
27;72123456;AA866;23/07/2025;Confirmada
12;70130024;AA799;30/09/2025;Confirmada
23;45133768;AA811;25/08/2025;Confirmada
11;82123456;AA841;13/08/2025;Confirmada
8;28345678;AA888;21/12/2025;Confirmada
2;46345678;AA801;12/07/2025;Confirmada
8;96123456;AA855;08/08/2025;Confirmada
22;75208878;AA789;26/06/2025;Confirmada
11;83345678;AA486;29/11/2025;Confirmada
16;39345678;AA123;09/07/2025;Confirmada
19;33903706;AA831;27/08/2025;Confirmada
27;77345678;AA790;26/06/2025;Confirmada
23;75345678;AA866;09/09/2025;Confirmada
27;57123456;AA799;26/07/2025;Confirmada
4;87345678;AA811;30/10/2025;Confirmada
11;32345678;AA841;09/07/2025;Confirmada
5;11295354;AA888;03/10/2025;Confirmada
27;98765432;AA801;03/10/2025;Confirmada
14;57770607;AA855;15/07/2025;Confirmada
20;94568471;AA789;17/08/2025;Confirmada
21;22334455;AA486;16/07/2025;Confirmada
5;31123456;AA123;14/08/2025;Confirmada
19;63345678;AA831;04/10/2025;Confirmada
5;82362587;AA790;13/07/2025;Confirmada
22;47287448;AA866;20/08/2025;Confirmada
5;30234567;AA799;05/11/2025;Confirmada
19;27567890;AA811;23/07/2025;Confirmada
16;33445566;AA841;25/09/2025;Confirmada
10;64123456;AA888;27/12/2025;Confirmada
6;33123456;AA801;19/07/2025;Confirmada
16;47123456;AA855;06/12/2025;Confirmada
27;44849061;AA789;26/07/2025;Confirmada
7;70320864;AA486;26/06/2025;Confirmada
9;30175585;AA123;18/11/2025;Confirmada
16;41345678;AA831;28/10/2025;Confirmada
13;59345678;AA790;29/10/2025;Confirmada
5;22345678;AA866;01/12/2025;Confirmada
23;80123456;AA799;25/10/2025;Confirmada
18;86220902;AA811;07/12/2025;Confirmada
4;93362765;AA841;13/08/2025;Confirmada
26;95345678;AA888;28/06/2025;Confirmada
21;60123456;AA801;24/08/2025;Confirmada
22;37567890;AA855;14/11/2025;Confirmada
14;34567890;AA789;07/08/2025;Confirmada
15;84123456;AA486;01/12/2025;Confirmada
15;93345678;AA123;14/10/2025;Confirmada
20;30784141;AA831;06/07/2025;Confirmada
1;69345678;AA790;08/10/2025;Confirmada
8;63165423;AA866;01/11/2025;Confirmada
25;52345678;AA799;14/08/2025;Confirmada
3;25171411;AA811;13/12/2025;Confirmada
11;78144735;AA841;10/11/2025;Confirmada
21;39999266;AA888;01/07/2025;Confirmada
10;20756213;AA801;25/10/2025;Confirmada
25;58345678;AA855;02/07/2025;Confirmada
26;88123456;AA789;11/09/2025;Confirmada
6;71568008;AA486;05/07/2025;Confirmada
18;44345678;AA123;08/10/2025;Confirmada
17;34210087;AA831;27/10/2025;Confirmada
